student_id,is_synthetic,data_class,generating_model_fingerprint,Sector,Grade_Band,Economic_Strain,Parent_Education,Parent_Availability,Neuro_Type,Child_Labour_Household_Duties,Transport_Burden,Food_Health_Burden,Home_Educational_Support,WASH_Quality,Sensory_Environment,School_Accommodation,Bullying_Social_Exclusion,Teacher_Resource_Adequacy,Support_Mismatch,School_Distress,Access_Barrier,Previous_Attendance,Current_Academic_Performance,Current_Academic_Stress,Psychological_Attendance_Barrier,Current_Attendance,School_Engagement,Next_Term_Dropout_Risk
SYNTH-000011,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Rural,Junior_Secondary,High,Secondary,Available,Typical,High,High,Low,Adequate,Inadequate,Overloading,Inadequate,High,Adequate,Low,High,High,Regular,Adequate,Low,High,Irregular,Low,Medium
SYNTH-000012,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Urban,Primary,Moderate,Secondary,Available,Typical,Low,Low,High,Limited,Adequate,Overloading,Adequate,Low,Adequate,Low,High,Low,Irregular,Low,Low,Low,Irregular,High,Low
SYNTH-000013,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Rural,Primary,Low,Post_Secondary,Available,Typical,Low,Low,Low,Adequate,Adequate,Overloading,Adequate,Low,Adequate,Low,Low,Low,Regular,Adequate,Low,Low,Regular,High,Low
SYNTH-000014,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Rural,OLevel_ALevel,Moderate,Secondary,Available,Typical,Low,Low,High,Adequate,Inadequate,Overloading,Adequate,Low,Adequate,Low,Low,Low,Regular,Adequate,Low,Low,Irregular,High,Low
SYNTH-000015,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Rural,Primary,Moderate,Secondary,Available,Typical,High,Low,Low,Adequate,Inadequate,Overloading,Inadequate,High,Limited,Low,Low,Low,Regular,Adequate,Low,Low,Regular,High,High
SYNTH-000016,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Rural,Junior_Secondary,Moderate,Low,Limited_or_Away,Typical,High,High,Low,Adequate,Inadequate,Overloading,Inadequate,High,Limited,Low,High,High,Regular,Adequate,High,High,Irregular,High,Medium
SYNTH-000017,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Rural,OLevel_ALevel,Low,Secondary,Available,Typical,High,Low,Low,Limited,Adequate,Overloading,Adequate,Low,Adequate,Low,Low,Low,Regular,Low,High,Low,Regular,Low,Low
SYNTH-000018,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Rural,OLevel_ALevel,High,Post_Secondary,Available,Typical,Low,High,Low,Adequate,Adequate,Overloading,Adequate,Low,Adequate,Low,Low,Low,Regular,Adequate,Low,Low,Regular,High,Low
SYNTH-000019,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Rural,Primary,Moderate,Secondary,Available,Typical,High,Low,Low,Adequate,Inadequate,Supportive,Adequate,Low,Adequate,Low,Low,High,Regular,Adequate,Low,Low,Regular,High,Low
SYNTH-000020,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Urban,Junior_Secondary,Moderate,Secondary,Limited_or_Away,Typical,High,Low,Low,Adequate,Inadequate,Supportive,Adequate,High,Adequate,Low,Low,Low,Irregular,Low,Low,Low,Regular,High,Low
SYNTH-000021,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Rural,Primary,Low,Low,Available,Typical,Low,Low,High,Adequate,Inadequate,Overloading,Inadequate,Low,Adequate,Low,Low,Low,Regular,Adequate,Low,Low,Regular,High,Low
SYNTH-000022,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Rural,Junior_Secondary,Low,Low,Available,Typical,Low,Low,Low,Limited,Adequate,Overloading,Adequate,Low,Adequate,Low,Low,Low,Regular,Adequate,Low,Low,Regular,High,Low
SYNTH-000023,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Rural,Primary,Low,Low,Limited_or_Away,Typical,Low,High,Low,Limited,Inadequate,Overloading,Inadequate,High,Adequate,Low,Low,Low,Regular,Adequate,Low,Low,Regular,High,Low
SYNTH-000024,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Rural,Primary,High,Secondary,Available,Typical,Low,Low,High,Adequate,Adequate,Supportive,Inadequate,Low,Limited,Low,Low,Low,Regular,Adequate,Low,Low,Regular,High,Low
SYNTH-000025,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Rural,Primary,Moderate,Secondary,Available,Typical,Low,Low,High,Limited,Adequate,Supportive,Inadequate,Low,Limited,Low,Low,Low,Irregular,Low,High,Low,Regular,High,Low
SYNTH-000026,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Rural,OLevel_ALevel,Moderate,Low,Limited_or_Away,Typical,Low,Low,High,Limited,Inadequate,Overloading,Adequate,Low,Adequate,Low,Low,Low,Regular,Adequate,Low,Low,Regular,High,Low
SYNTH-000027,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Rural,Junior_Secondary,High,Low,Available,Typical,High,Low,Low,Adequate,Adequate,Supportive,Adequate,Low,Limited,Low,Low,Low,Regular,Adequate,Low,High,Regular,High,Low
SYNTH-000028,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Rural,Primary,Low,Secondary,Available,Typical,Low,High,Low,Adequate,Inadequate,Supportive,Adequate,High,Adequate,Low,Low,Low,Regular,Adequate,Low,Low,Regular,High,Low
SYNTH-000029,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Rural,Primary,Moderate,Secondary,Limited_or_Away,Typical,Low,High,Low,Limited,Inadequate,Overloading,Adequate,Low,Adequate,Low,Low,Low,Regular,Adequate,Low,Low,Regular,High,Low
SYNTH-000030,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Rural,Primary,Moderate,Secondary,Available,ADHD,Low,Low,Low,Adequate,Adequate,Supportive,Inadequate,Low,Limited,High,Low,Low,Regular,Adequate,Low,Low,Regular,High,Low
SYNTH-000031,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Rural,Junior_Secondary,Moderate,Secondary,Available,Typical,Low,High,Low,Adequate,Adequate,Overloading,Inadequate,Low,Limited,Low,Low,Low,Regular,Adequate,Low,Low,Regular,High,Low
SYNTH-000032,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Rural,Primary,Low,Low,Available,Typical,High,Low,Low,Adequate,Adequate,Supportive,Inadequate,Low,Adequate,Low,Low,Low,Regular,Adequate,Low,Low,Regular,High,Low
SYNTH-000033,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Rural,Junior_Secondary,Moderate,Low,Available,Typical,Low,Low,Low,Adequate,Inadequate,Overloading,Inadequate,High,Adequate,Low,High,Low,Regular,Adequate,Low,Low,Regular,High,Low
SYNTH-000034,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Rural,Junior_Secondary,High,Post_Secondary,Available,Typical,Low,High,High,Adequate,Adequate,Overloading,Adequate,Low,Adequate,Low,Low,Low,Regular,Low,Low,Low,Regular,Low,High
SYNTH-000035,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Rural,OLevel_ALevel,Low,Post_Secondary,Available,Typical,Low,Low,Low,Adequate,Adequate,Overloading,Adequate,High,Limited,Low,High,Low,Irregular,Low,High,High,Irregular,Low,High
SYNTH-000036,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Rural,Primary,Moderate,Secondary,Available,Typical,Low,Low,Low,Adequate,Inadequate,Supportive,Adequate,Low,Limited,Low,Low,Low,Regular,Adequate,Low,High,Regular,High,Low
SYNTH-000037,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Urban,Junior_Secondary,High,Secondary,Available,Typical,Low,Low,High,Adequate,Adequate,Overloading,Adequate,Low,Adequate,Low,Low,Low,Regular,Low,High,Low,Regular,Low,Medium
SYNTH-000038,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Urban,OLevel_ALevel,Moderate,Post_Secondary,Available,Typical,Low,Low,Low,Adequate,Adequate,Overloading,Adequate,Low,Adequate,Low,Low,Low,Irregular,Low,High,Low,Irregular,Low,High
SYNTH-000039,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Urban,Junior_Secondary,High,Low,Available,Typical,High,Low,Low,Adequate,Inadequate,Supportive,Inadequate,High,Adequate,Low,Low,Low,Regular,Low,High,Low,Regular,Low,Low
SYNTH-000040,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Urban,Primary,Moderate,Low,Limited_or_Away,Typical,Low,Low,High,Limited,Adequate,Overloading,Inadequate,High,Limited,Low,High,Low,Regular,Low,Low,High,Regular,High,Low
SYNTH-000041,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Rural,Primary,Moderate,Low,Limited_or_Away,Typical,Low,Low,Low,Limited,Adequate,Supportive,Inadequate,Low,Limited,Low,Low,Low,Irregular,Low,Low,Low,Regular,High,Low
SYNTH-000042,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Rural,Primary,Low,Low,Limited_or_Away,Typical,Low,Low,Low,Adequate,Adequate,Overloading,Inadequate,High,Adequate,Low,High,Low,Regular,Adequate,Low,Low,Regular,Low,High
SYNTH-000043,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Rural,OLevel_ALevel,High,Low,Available,Typical,High,Low,High,Limited,Inadequate,Supportive,Inadequate,Low,Limited,High,High,Low,Regular,Low,High,High,Regular,Low,Medium
SYNTH-000044,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Rural,Primary,Moderate,Low,Limited_or_Away,ADHD,Low,Low,Low,Limited,Inadequate,Supportive,Inadequate,Low,Adequate,Low,High,Low,Regular,Adequate,Low,High,Irregular,High,Low
SYNTH-000045,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Urban,OLevel_ALevel,High,Low,Limited_or_Away,Typical,High,High,Low,Adequate,Adequate,Overloading,Inadequate,High,Adequate,Low,High,High,Regular,Adequate,Low,High,Irregular,Low,High
SYNTH-000046,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Rural,Primary,Moderate,Low,Available,Typical,Low,Low,Low,Limited,Adequate,Overloading,Inadequate,Low,Limited,Low,Low,Low,Regular,Adequate,Low,Low,Regular,High,Low
SYNTH-000047,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Rural,Junior_Secondary,Low,Post_Secondary,Available,Typical,Low,Low,Low,Adequate,Adequate,Supportive,Inadequate,Low,Adequate,Low,Low,Low,Regular,Adequate,High,Low,Regular,High,Low
SYNTH-000048,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Rural,Primary,Low,Secondary,Available,Typical,Low,Low,Low,Limited,Inadequate,Overloading,Inadequate,Low,Limited,High,High,Low,Regular,Low,Low,Low,Irregular,High,Medium
SYNTH-000049,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Urban,Primary,Low,Secondary,Limited_or_Away,Typical,Low,Low,Low,Adequate,Inadequate,Supportive,Inadequate,Low,Adequate,High,Low,Low,Regular,Adequate,Low,Low,Regular,High,Low
SYNTH-000050,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Rural,OLevel_ALevel,Moderate,Low,Available,Typical,Low,Low,Low,Adequate,Adequate,Supportive,Inadequate,Low,Limited,Low,Low,Low,Regular,Adequate,Low,Low,Regular,High,Low
SYNTH-000051,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Rural,Junior_Secondary,Low,Secondary,Limited_or_Away,Typical,Low,High,Low,Adequate,Adequate,Supportive,Adequate,Low,Limited,Low,Low,Low,Regular,Low,High,High,Irregular,High,Medium
SYNTH-000052,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Rural,Primary,Low,Secondary,Limited_or_Away,ADHD,Low,Low,Low,Limited,Inadequate,Overloading,Inadequate,Low,Adequate,High,Low,Low,Regular,Adequate,Low,Low,Regular,High,Low
SYNTH-000053,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Rural,OLevel_ALevel,High,Secondary,Available,Typical,Low,High,High,Adequate,Inadequate,Overloading,Adequate,High,Adequate,Low,Low,High,Regular,Adequate,High,Low,Regular,High,High
SYNTH-000054,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Estate,Junior_Secondary,High,Secondary,Limited_or_Away,Typical,Low,Low,High,Limited,Inadequate,Overloading,Adequate,High,Limited,Low,High,Low,Regular,Low,High,Low,Regular,Low,Low
SYNTH-000055,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Rural,Junior_Secondary,High,Low,Available,Typical,Low,High,Low,Adequate,Adequate,Supportive,Inadequate,High,Limited,High,High,Low,Regular,Adequate,Low,Low,Regular,Low,Medium
SYNTH-000056,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Rural,Primary,Low,Low,Available,Typical,Low,Low,Low,Limited,Adequate,Supportive,Inadequate,High,Limited,Low,Low,Low,Regular,Adequate,Low,Low,Regular,Low,Low
SYNTH-000057,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Rural,OLevel_ALevel,Low,Low,Available,Typical,Low,High,Low,Limited,Adequate,Overloading,Inadequate,Low,Adequate,Low,Low,High,Regular,Adequate,High,High,Irregular,High,Medium
SYNTH-000058,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Rural,Primary,Moderate,Post_Secondary,Limited_or_Away,Typical,Low,Low,Low,Limited,Adequate,Overloading,Inadequate,Low,Adequate,Low,Low,Low,Regular,Low,Low,Low,Regular,High,Low
SYNTH-000059,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Rural,OLevel_ALevel,Moderate,Secondary,Available,Typical,Low,Low,Low,Limited,Inadequate,Supportive,Inadequate,High,Adequate,Low,High,Low,Regular,Low,High,Low,Regular,Low,Medium
SYNTH-000060,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Rural,Primary,Low,Secondary,Available,Typical,Low,Low,Low,Limited,Inadequate,Supportive,Adequate,Low,Limited,Low,Low,Low,Regular,Low,Low,Low,Regular,Low,Medium
SYNTH-000061,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Rural,Junior_Secondary,High,Post_Secondary,Available,Typical,Low,Low,Low,Adequate,Adequate,Supportive,Inadequate,High,Adequate,Low,Low,High,Regular,Adequate,Low,Low,Regular,High,Low
SYNTH-000062,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Urban,OLevel_ALevel,Moderate,Secondary,Available,Typical,High,Low,Low,Adequate,Adequate,Overloading,Adequate,Low,Limited,Low,Low,Low,Regular,Low,High,High,Regular,High,Low
SYNTH-000063,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Rural,Junior_Secondary,High,Secondary,Available,Typical,Low,Low,High,Adequate,Adequate,Overloading,Inadequate,Low,Adequate,Low,Low,Low,Irregular,Adequate,Low,Low,Irregular,High,Medium
SYNTH-000064,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Rural,Junior_Secondary,High,Secondary,Available,Typical,Low,Low,High,Adequate,Inadequate,Overloading,Inadequate,Low,Limited,Low,Low,Low,Regular,Adequate,Low,Low,Regular,Low,Medium
SYNTH-000065,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Rural,Junior_Secondary,Low,Post_Secondary,Limited_or_Away,Typical,Low,Low,Low,Adequate,Adequate,Overloading,Adequate,High,Adequate,Low,Low,Low,Regular,Low,High,Low,Regular,Low,Medium
SYNTH-000066,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Rural,Junior_Secondary,Moderate,Secondary,Available,Typical,Low,High,Low,Adequate,Adequate,Overloading,Adequate,Low,Adequate,Low,Low,Low,Regular,Adequate,Low,Low,Regular,High,Low
SYNTH-000067,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Rural,Junior_Secondary,High,Secondary,Available,Typical,Low,High,High,Adequate,Inadequate,Supportive,Inadequate,Low,Adequate,Low,Low,High,Regular,Adequate,Low,Low,Regular,High,Medium
SYNTH-000068,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Rural,Primary,High,Post_Secondary,Available,Typical,Low,High,Low,Adequate,Adequate,Overloading,Inadequate,Low,Adequate,Low,Low,Low,Regular,Adequate,Low,Low,Regular,High,Low
SYNTH-000069,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Rural,OLevel_ALevel,High,Secondary,Limited_or_Away,ADHD,High,High,Low,Adequate,Adequate,Overloading,Adequate,Low,Adequate,Low,Low,Low,Regular,Adequate,Low,Low,Regular,High,Medium
SYNTH-000070,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Urban,Primary,Low,Post_Secondary,Available,Typical,Low,Low,Low,Adequate,Inadequate,Supportive,Inadequate,High,Limited,Low,Low,Low,Regular,Low,Low,Low,Regular,Low,High
SYNTH-000071,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Rural,Primary,Low,Secondary,Available,Typical,Low,Low,High,Adequate,Adequate,Overloading,Adequate,Low,Adequate,Low,Low,Low,Irregular,Low,Low,Low,Regular,High,Low
SYNTH-000072,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Rural,Primary,Moderate,Secondary,Available,Typical,Low,Low,High,Adequate,Inadequate,Supportive,Inadequate,Low,Adequate,Low,Low,Low,Regular,Adequate,Low,Low,Regular,Low,Medium
SYNTH-000073,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Rural,Primary,Low,Post_Secondary,Available,Typical,Low,High,Low,Adequate,Adequate,Overloading,Inadequate,High,Adequate,Low,High,Low,Regular,Adequate,Low,Low,Regular,High,Low
SYNTH-000074,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Rural,Junior_Secondary,Moderate,Post_Secondary,Available,Typical,Low,High,Low,Adequate,Adequate,Supportive,Inadequate,Low,Limited,High,Low,High,Regular,Low,Low,Low,Regular,High,Low
SYNTH-000075,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Rural,Junior_Secondary,Moderate,Low,Available,Typical,Low,Low,High,Adequate,Inadequate,Overloading,Inadequate,Low,Adequate,Low,Low,Low,Regular,Adequate,Low,Low,Regular,High,Low
SYNTH-000076,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Rural,Primary,High,Secondary,Available,Typical,Low,High,Low,Adequate,Adequate,Supportive,Inadequate,Low,Limited,Low,Low,High,Regular,Adequate,Low,Low,Irregular,High,Low
SYNTH-000077,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Urban,Primary,Moderate,Post_Secondary,Available,Typical,Low,High,Low,Adequate,Adequate,Overloading,Inadequate,Low,Adequate,High,High,Low,Regular,Adequate,Low,Low,Regular,High,Low
SYNTH-000078,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Estate,Junior_Secondary,High,Secondary,Available,Typical,Low,Low,Low,Limited,Inadequate,Overloading,Adequate,High,Limited,Low,High,Low,Regular,Low,Low,Low,Regular,Low,High
SYNTH-000079,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Rural,OLevel_ALevel,High,Secondary,Available,Typical,Low,Low,High,Adequate,Adequate,Overloading,Inadequate,Low,Adequate,Low,Low,Low,Regular,Adequate,Low,Low,Regular,Low,Low
SYNTH-000080,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Rural,Junior_Secondary,Moderate,Secondary,Available,ADHD,Low,Low,Low,Adequate,Adequate,Overloading,Inadequate,Low,Adequate,High,Low,Low,Regular,Adequate,Low,Low,Irregular,High,Medium
SYNTH-000081,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Rural,Junior_Secondary,Low,Secondary,Limited_or_Away,Typical,High,Low,Low,Limited,Inadequate,Overloading,Adequate,Low,Adequate,Low,Low,Low,Irregular,Adequate,Low,Low,Irregular,High,Low
SYNTH-000082,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Rural,Primary,Low,Secondary,Available,Typical,Low,High,Low,Adequate,Adequate,Supportive,Inadequate,High,Adequate,Low,Low,Low,Regular,Adequate,Low,Low,Regular,Low,Low
SYNTH-000083,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Rural,OLevel_ALevel,Moderate,Secondary,Available,Typical,Low,High,Low,Adequate,Adequate,Overloading,Inadequate,High,Limited,High,High,Low,Regular,Adequate,Low,Low,Regular,High,Low
SYNTH-000084,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Rural,Primary,Moderate,Secondary,Limited_or_Away,Typical,Low,Low,High,Limited,Adequate,Supportive,Adequate,Low,Adequate,Low,Low,Low,Regular,Adequate,Low,Low,Irregular,High,Medium
SYNTH-000085,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Rural,Primary,Low,Post_Secondary,Available,Typical,Low,Low,Low,Adequate,Inadequate,Overloading,Inadequate,High,Adequate,Low,High,Low,Regular,Low,Low,Low,Regular,High,Low
SYNTH-000086,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Rural,Junior_Secondary,Moderate,Post_Secondary,Available,Typical,Low,Low,Low,Adequate,Adequate,Overloading,Adequate,Low,Limited,Low,Low,Low,Regular,Adequate,Low,Low,Regular,High,Low
SYNTH-000087,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Urban,Primary,Moderate,Secondary,Available,Typical,Low,Low,Low,Adequate,Inadequate,Overloading,Adequate,Low,Adequate,Low,Low,Low,Irregular,Adequate,Low,Low,Regular,High,Low
SYNTH-000088,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Estate,Junior_Secondary,High,Secondary,Available,Typical,Low,High,Low,Adequate,Adequate,Overloading,Inadequate,Low,Limited,Low,Low,High,Regular,Adequate,Low,Low,Regular,High,Low
SYNTH-000089,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Rural,OLevel_ALevel,Moderate,Post_Secondary,Available,Typical,Low,Low,Low,Adequate,Adequate,Overloading,Inadequate,Low,Adequate,Low,Low,Low,Regular,Adequate,Low,Low,Regular,High,Medium
SYNTH-000090,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Rural,OLevel_ALevel,Moderate,Post_Secondary,Available,Typical,Low,High,Low,Adequate,Adequate,Supportive,Adequate,Low,Limited,Low,Low,Low,Regular,Adequate,Low,Low,Regular,High,Low
SYNTH-000091,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Rural,Junior_Secondary,Moderate,Low,Available,Typical,Low,Low,High,Limited,Adequate,Supportive,Inadequate,High,Adequate,Low,High,Low,Regular,Adequate,Low,Low,Regular,Low,Low
SYNTH-000092,True,SYNTHETIC_NOT_REAL_STUDENT_DATA,c1b90a898747cc01,Rural,Primary,High,Secondary,Available,Typical,High,Low,High,Adequate,Adequate,Supportive,Inadequate,Low,Adequate,Low,Low,High,Regular,Adequate,Low,Low,Regular,High,Low
